name,slug,one_liner,long_description,website,batch,industry,subindustry,tags,team_size,status,stage,relevance_score,matched_keywords
Butter,butter,Muscle Memory Cache for Agents,"Butter is building an LLM proxy that records and deterministically replays tool call trajectories. Our goal is to get LLMs out of the hotpath for repetitive tasks, increasing speed, reducing variability, and eliminating token costs for the many cases that could have just been a script.
",https://butter.dev,Winter 2025,B2B,B2B -> Infrastructure,,2,Active,Early,17,T1:for agents; T4:\binfrastructure\b; T4:\btoken\b; T4:\bmemory\b
FirstWork,firstwork,Rippling for seasonal workers,"Firstwork is a next-generation HR platform designed specifically for companies with dynamic workforce needs. Our mission is to streamline and automate key HR processes to help businesses operate more efficiently and effectively.

What We Do (for now):

(1) Smart Onboarding 📋: Our platform simplifies the onboarding process by automating the collection and verification of credentials, such as right-to-work documents, insurance forms and driver’s licenses. This reduces administrative burden and accelerates the time-to-productivity for new hires.

(2) AI-Assisted Activation 🤖: Leveraging AI, we enhance communication and messaging for new hires, ensuring they receive timely and relevant information. This helps in better engagement and faster integration into their roles.

(3) Perpetual Compliance ✅: Our system uses AI and OCR technology to continuously monitor and ensure compliance with various regulatory requirements. This includes tracking expirations of critical documents, updating records, and generating compliance reports, thus reducing the risk of penalties and legal issues.

",https://firstwork.com,S24,B2B,B2B -> Human Resources,Artificial Intelligence; SaaS; Human Resources; Workflow Automation; Compliance,9,Active,Early,17,T4:\bplatform\b; T4:\bcompliance\b; T4:\binsurance\b; T4:\bcredential; T4:\blegal\b; T4:\bmonitor; T4:\bworkflow\b; T4:\bautomation\b
14.ai,14-ai,AI Customer Service Platform and BPO for Your B2C Business,14.ai is a Zendesk alternative built from the ground up for AI agents. ,https://14.ai,Winter 2024,B2B,B2B -> Infrastructure,Developer Tools; Customer Support; Infrastructure; AI; AI Assistant,3,Active,Early,17,T1:for ai agents; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeveloper tool
Conduit,conduit-ai,Conversational AI agents for Customer Service.,"Conduit is the AI agent platform that drives conversational outcomes across support and sales.

Customer conversations are the backbone of every business. Consumer businesses spend nearly a third of their working hours calling and texting customers. Conduit turns those conversations into an engine for conversions, revenue, and cost savings. 

We enable operators across real estate, financials, and service-based businesses, to build and deploy AI agents that perform better than your best employee. Our modular platform enables automation for the most complex, high-volume conversational workflows.",https://conduit.ai/?utm_source=referral&utm_medium=organic&utm_campaign=ycombinator,Winter 2024,B2B,B2B,Messaging; Sales; Customer Service; Customer Support; AI,11,Active,Early,17,T1:agent platform; T4:\bplatform\b; T4:\bdeploy; T4:\bautomation\b
Eloquent AI,eloquent-ai,Agentic AI Platform for Financial Services,"Eloquent AI empowers regulated industries to confidently deploy AI agents for critical, high-stakes conversations.

We developed the first Agentic OS that leverages deep evaluations and reinforcement learning to eliminate hallucinations and errors. Our agents autonomously ingest knowledge, measure performance, and self-correct by refining internal reward models.

At the core of our technology is the Mission Control Engine, specifically designed for reliability and compliance:
- User simulations for pre-launch assurance of agent performance.
- Contextual compliance, with AI models trained directly on mandated regulations, eliminating liabilities from unauthorized advice or mishandled complaints.
- Comprehensive audit trails that document and clearly explain AI decision-making to regulators.

Built for compliance and trust, Eloquent AI transforms AI from a potential liability into a strategic advantage for financial institutions and healthcare organizations.",https://www.eloquentai.co/,X25,B2B,B2B -> Finance and Accounting,,5,Active,Early,16,T2:\bagentic\b; T4:\bplatform\b; T4:\bcompliance\b; T4:\bliability\b; T4:\btrust\b; T4:\bdeploy; T4:\bevaluat
Quantstruct,quantstruct,AI documentation engineer – test & autoimprove stale product docs,"Quantstruct automatically creates and improves product documentation, implementation guides, and changelogs for API & SDK products, web-based enterprise software, and internal applications.

Quantstruct identifies gaps in your knowledge base based on each product release or unfulfilled customer query. It uses multiple AI agents to search existing knowledge sources, test existing docs for validity and style guidelines, and clicks, scrolls, and uses enterprise software through a web browser to generate docs with embedded screenshots and video recordings. Quanstruct is available as a cloud service to start, targeting technical writers, content writing, professional services, and product teams.

Traditional generative AI tools risk hallucinating critical API & SDK fields, even with RAG based approaches. Purely agent-based approaches risk providing unpredictable output that can diverge from desired documentation processes. Finally, no company’s review and publishing workflow is the same. Quantstruct is the easiest way to onboard and customize AI agents to continuously improve your documentation based on your customer needs and product evolution. https://quantstruct.com",https://quantstruct.com,W25,B2B,B2B,Artificial Intelligence; Developer Tools; B2B; API; Automation,3,Active,Early,16,T2:\brag\b; T4:\bdeveloper tool; T4:\bapi\b; T4:\bsdk\b; T4:\bworkflow\b; T4:\bautomation\b; T4:\bbrowser\b
Wildcard,wildcard,Make APIs work for AI Agents,"Wildcard is the gateway for AI agents to find and use APIs with natural language. We have four official partnerships with API providers like Resend and Alpaca on our open standard to make their APIs ready for agentic traffic.
Our API integrations include: Google Sheets, Stripe, Resend, Slack, Alpaca, Rootly, ...


",https://wild-card.ai,W25,B2B,"B2B -> Engineering, Product and Design",,2,Active,Early,16,T1:for ai agents; T2:\bagentic\b; T4:\bapi\b
Hamming AI,hamming-ai,Automated AI voice agent testing,"Humans make billions of calls/day. We think a majority of these will be handled by AI built by thousands of companies tackling every single vertical.

Making these AI voice agents reliable is hard. A small change in prompts, function call definitions, or model providers can cause large changes in LLM outputs. 

Hamming automates testing for AI voice agents. Our voice agents call your voice agent. An AI drive-through startup uses Hamming to simulate thousands of simultaneous phone calls to achieve 99.99% agent order accuracy.

We have a proven track record of helping enterprises win with AI. Sumanyu (CEO) previously helped Citizen (safety app) grow its users by 4X and grew an AI-powered sales program to 100s of millions in revenue/year at Tesla. Marius (CTO) previously ran data infrastructure @ Anduril and was a founding engineer @ Spell (MLOps startup acquired by Reddit).",https://hamming.ai/,S24,B2B,"B2B -> Engineering, Product and Design",,2,Active,Early,16,T1:agent test; T2:\bmlops\b; T4:\binfrastructure\b
RowBoat Labs,rowboat-labs,Open-source AI-assisted agent builder,"A Cursor-like AI-assisted, no-code IDE for building production-ready multi-agents.

✨ Start from a simple prompt to create fully functional agents with the Copilot
🧪 Test them in AI-simulated scenarios
🌐 Connect MCP servers and tools
📞 Interact through the Python SDK, a web widget, or a Twilio phone number
♻️ Continuously refine your agents by providing feedback to the Copilot

Built on OpenAI's Agents SDK, Rowboat is the fastest way to build multi-agents!",https://www.rowboatlabs.com,S24,B2B,B2B,Generative AI; B2B; Open Source; Conversational AI,3,Active,Early,16,T1:multi-agent; T2:\bmcp\b; T4:\bsdk\b
Zoa Research,zoa-research,Powerful quantitative forecasting models,"Historically, quantitative models are domain specific. Brilliant people spend their best years testing features, tuning hyperparameters, and iterating architectures within a narrow domain. But scale is the panacea: large models will find patterns people, and specialized models, could not. 

Forecasting generalizes. Zoa trains cross-domain event forecasting engines. 

*Automating Iteration*

LLMs—embedded in multi-agent optimization loops and evaluated against fixed policies—can automate the build-test-improve modeling cycle. Think AlphaEvolve for forecasting problems.

*Sample-Efficient General Models*

Today’s forecasting models are narrowly crafted with deep human priors. But larger models will outperform state-of-the-art specialized models.

Unlike existing event models, our models leverage data from across contexts and rely less on human intuition. And compared to LLMs, our models are built with more inductive priors and rely more heavily on inference-time compute—improving sample efficiency.

*Why It Matters*

In the real economy, our models could be useful for forecasting supply chain volatility, energy supply and demand, even earthquake risk.

Science is, Ian Hacking writes, the taming of chance. It is the process of iteratively updating priors (something like: identify uncertainty, conceive experiment to reduce uncertainty, execute, update). If science is uncertainty-reduction, forecasting is a critical measure of progress. 

Better forecasting improves our ability to select interesting experiments (roughly those with greatest expected uncertainty reduction) and update priors. Our models will be used by labs and academics in data-heavy domains. 

Sam's ex-girlfriend introduced him to Greg back at Carnegie Mellon in 2017, and while that relationship didn't last, their friendship has. After college, Greg went to Harvard Law School, while Sam worked for three years at Jane Street on their Options desk, building & leading a satellite dev team.",https://zoaresearch.com,Summer 2024,B2B,B2B,Data Science; AI,5,Active,Early,16,T1:multi-agent; T2:\binference\b; T4:\bevaluat
Cumulus Labs,cumulus-labs,The Optimized GPU Cloud,"Cumulus Labs is building a performance-optimized GPU cloud for AI training and inference, where customers are only charged by physical resource use.

The platform aggregates idle GPU capacity from public clouds, private data centers, and vetted individual hosts into a single, unified Cumulus pool. 

For training and fine-tuning, workloads are predictively packed alongside other jobs to maximize efficiency and dynamically migrated live during execution to faster or cheaper clusters as they become available. 

For inference, the platform captures and replicates execution state across our global compute CDN, enabling ultra-fast cold starts and performant serving where your users are. 

The Cumulus Scheduler constantly diagnoses failures, auto-recovers workloads, and intelligently orchestrates across the entire pool. The Cumulus Prediction system will learn usage patterns to optimize resources available to customer jobs.

Getting started takes less than 20 lines of config. Fine-tuning becomes as simple as specifying your data and model architecture, while inference deployments automatically optimize for latency and cost. 

Cumulus handles all GPU orchestration complexity, allowing teams to save on cost and significantly boost performance in real-time while focusing on what matters: building & serving better models. The result is 50-70% cost savings, faster cold starts, and never spending time managing infrastructure ever again.
",https://cumuluslabs.io,Winter 2026,B2B,B2B -> Infrastructure,Machine Learning; B2B; Infrastructure,2,Active,Early,15,T2:\binference\b; T2:\bfine-tun; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeploy; T4:\bexecution\b
Patientdesk.ai,patientdeskai,AI voice agent for patient calls & admin workflows,"The universal AI front desk for healthcare: plugs into any practice management system (cloud-based or on-premise) and automates all patient workflows: scheduling, cancellations, payment plans, insurance checks, reminders, intake, and follow-ups.",https://patientdesk.ai/,Winter 2026,Healthcare,Healthcare -> Healthcare IT,Customer Service; Call Center; Conversational AI; AI Assistant,3,Active,Early,15,T1:agent.*payment; T4:\bpayment; T4:\binsurance\b
Lua Global Inc,lua-global-inc,The mid-market agent platform,"Lua is the mid-market agent platform.

We deliver enterprise reliability with the speed, flexibility, and economics that mid-market companies demand - helping them deploy AI agents that drive sales, support, and operations across everyday channels and tools.

We scale through developer agencies and channel partners, enabling rapid distribution without a large enterprise sales motion or scaled forward deployed teams. We think of Lua as an agentOS that abstracts all of the complexity required to launch enterprise grade agents and combine it with the tools needed for these agents to succeed in the real world.

Lua was founded by Lorcan O Cathain (CEO) and Stefan Kruger (CTO)- experienced founders who have spent 15 - 20 years each scaling technology companies across emerging markets.

We sell to mid-market enterprises and developer agencies in the US and internationally. Developers are increasingly our primary ICP but we run SMB & enterprise sales motions to accelerate our learnings and further develop our product:
- SMB ($25- 1k per month): fully automated self-serve agents that handle sales and support for eCommerce companies, hotels, restaurants and general service businesses. If you’ve been on our website you’ve likely seen this.
- Enterprise: We directly sell to mid-market (~ $50M- $1BN) businesses across the US and internationally to eat our own dog food and strengthen our platform.
",https://heylua.ai/,Fall 2025,B2B,B2B,,5,Active,Early,15,T1:agent platform; T4:\bplatform\b; T4:\bdeploy
Sim,sim,Open source platform to build AI agent workflows,"Sim enables fast-growing technical teams to build and deploy AI agent workflows. 

70,000+ developers are already using Sim, integrating with 1000+ apps to streamline workflows with AI agents.",https://sim.ai,Spring 2025,B2B,B2B,AI,5,Active,Early,15,T1:agent workflow; T4:\bplatform\b; T4:\bdeploy
Klavis AI,klavis-ai,Open source MCP integration platform for reliably tool use at scale.,"Klavis AI is Open source MCP integration platform that let AI agents use tools reliably at any scale. Our API provides hosted, secure MCP servers, eliminating auth management and client-side code. Co-founder Xiangkai Zeng co-authored the Gemini paper and pioneered the tool calling infrastructure for Gemini. https://www.klavis.ai/",https://www.klavis.ai/,Spring 2025,B2B,B2B,Artificial Intelligence; SaaS; Open Source; API; AI,4,Active,Early,15,T2:\bmcp\b; T2:\btool use\b; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bapi\b; T4:\bauth
ZeroEval,zeroeval,Auto-optimizer for AI agents,"Our mission is to build self-improving AI agents.

We're here to close the last mile reliability gap. 

Through calibrated llm judges and automatic evaluations, we help companies optimize their agents 10x faster than doing manual experimentation.",https://zeroeval.com,Summer 2025,B2B,B2B,AIOps; Developer Tools; Generative AI; SaaS; AI,2,Active,Early,15,T1:for ai agents; T4:\bdeveloper tool; T4:\bevaluat
AgentHub,agenthub-2,The simulation and evaluation engine for AI agents,"AgentHub helps you catch and fix errors in your AI agents - before your users ever see them.

Simulate real-world scenarios in curated RL environments for your agents - trace, evaluate, and improve agent behavior at scale. Generate large annotated datasets and experiment with different prompts, models, and configurations - all in one place - with clear visualizations of what’s working (and what’s not).

Built by a former tech lead from Apple’s Foundation Model Eval team and a product engineer from MIT with experience working on agents at startups, AgentHub makes it easy to integrate your use case and start improving your agents quickly.

Our streamlined onboarding process lets you get your agent eval environment up and running fast—no heavy lifting on your end.

Close the feedback loop and build better agents, faster - with confidence. ",https://www.agenthublabs.com,Summer 2025,B2B,B2B,Reinforcement Learning; B2B; Infrastructure; AI,2,Active,Early,15,T1:for ai agents; T4:\binfrastructure\b; T4:\bevaluat
Notte,notte,Reliable Web Agents for Enterprise,"Nottelabs offers a platform to build and deploy enterprise-grade browser agents. We help companies cut costs and save time by automating repetitive tasks. Unlike others, we provide agents, tools, and infrastructure through a single API, making us the fastest path to reliable web AI agents in production.",https://www.notte.cc/,Summer 2025,B2B,B2B,Developer Tools; Automation; AI,5,Active,Early,15,T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bapi\b; T4:\bdeploy; T4:\bautomation\b; T4:\bbrowser\b
Platus,platus,"Instant Legal Infrastructure - Draft, Sign, Notarize & Process","Platus delivers fast, reliable legal infrastructure with a no-code platform and API, designed to support SMBs with instant access to notarization, legal drafting, e-signing, and workflow automations. Our solution removes the high costs and slow processing of traditional legal services, by empowering businesses to seamlessly manage compliance and legal tasks.",https://www.platus.com,F24,B2B,B2B -> Legal,B2B; Workflow Automation; Compliance; LegalTech; AI,0,Active,Early,15,T4:\binfrastructure\b; T4:\bplatform\b; T4:\bapi\b; T4:\bcompliance\b; T4:\blegal\b; T4:\bworkflow\b; T4:\bautomation\b
Abundant,abundant,Human Supervision for AI Agents,"Abundant powers reliable and safe AI deployment via our API. Our network of specialized operators works alongside AI agents to:

(1) Handle complex edge cases with precision.
(2) Maintain rigorous safety standards.
(3) Generate high-quality training data that continuously improves AI performance.

Companies can meet stringent quality requirements at a fraction of the cost of in-house teams, while accelerating their AI initiatives.",https://www.abundant.ai/,F24,B2B,B2B,AIOps; Artificial Intelligence; API; AI,3,Active,Early,15,T1:for ai agents; T4:\bapi\b; T4:\bdeploy
HumanLayer,humanlayer,Human-in-the-Loop for AI Agents,"HumanLayer is an API that enables AI applications to contact humans for help, feedback, and approvals. One customer uses HumanLayer to ship DevOps agents that manage complex and risky workflows like production deployments and database migrations. 


We’re building HumanLayer because we know that the future of AI Applications is not gonna be humans sitting at a chat interface, the future is “outer loop” or “headless” agents, and our partners are building AI apps that invert the typical interaction paradigm. Autonomous agents are calling humans, not the other way around.


AI Agents are poised to disrupt the $4.6tn global labor market, but in order to make agents reliable today, and train them to be fully autonomous tomorrow, solutions like HumanLayer are an inevitable part of the AI Agent stack. ",https://humanlayer.dev,F24,B2B,"B2B -> Engineering, Product and Design",,3,Active,Early,15,T1:for ai agents; T4:\bapi\b; T4:\bdeploy
Comfy Deploy,comfy-deploy,Vercel for Gen AI applications,"Comfy Deploy lets developers build and deploy workflows that use Stable Diffusion and other models to produce images and video. Instead of cobbling together fragmented tools, teams now build workflows that generate assets they need on their own.


**Team ComfyUI workspace**

• Replacing cobbled-together solutions with a unified, team-focused environment without the pain of self-hosting.

• Eliminate ""works on my machine"" issues with version control.

• Share storage for models and outputs.

• Leverage the power of ComfyUI without the complexities of self-hosting


**Powerful GPU Infrastructure**
• Access managed GPUs that grow with your teams needs

• Tailor the platform to your requirements by easily installing custom nodes and models


**Custom configuration**

• Download the models you want, stored privately in your personal volume

• Install the custom nodes your workflow needs

• Train models on your own datasets.


**API Deployments: From workflow to production in seconds**

• Transform any workflow into a fully functional API immediately without extra engineering

• Comprehensive observability on every run

• Built-in API authentication

• TS/JS/Python/Ruby SDKs for seamless integration
",https://comfydeploy.com,S24,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence; API,3,Active,Early,15,T4:\binfrastructure\b; T4:\bplatform\b; T4:\bapi\b; T4:\bauth; T4:\bdeploy; T4:\bobservab; T4:\bworkflow\b
Kastle,kastle,AI agents for mortgage servicing,"Kastle is an AI voice agent for mortgage servicing. We help servicers collect payments, verify new borrowers, and qualify new loan inquiries over the phone. 

Rishi and Nitish met at UIUC where they graduated with degrees in systems engineering and computer science.  Rishi was the founding Product Manager for Redfin’s Mortgage Marketplace at 22 and grew the business from $3M to $6M in revenue in 9 months. Nitish patented Verkada’s motion search system and was the youngest tech lead at the company at 23.

While building Redfin's Mortgage Marketplace Rishi realized traditional lenders didn't have the infrastructure to service online inquiries and were losing customers. Nitish and Rishi are building Kastle to help traditional financial services companies better interface with their customers. ",https://kastle.ai/,S24,B2B,B2B,,3,Active,Early,15,T1:agent.*payment; T4:\binfrastructure\b; T4:\bpayment
Synthetic Sciences,synthetic-sciences,AI co-scientists that run research end-to-end,"We’re building the infrastructure for a future AI co-scientist, starting with computational research domains. Our thesis is that capable AI scientists require two things built in tandem: (1) a human-centric product suite that generates high-quality process data, and (2) the research infrastructure to turn that data into increasingly autonomous systems. We’re creating the product and training infrastructure needed for research agents that can execute the full scientific loop.

Synthetic Sciences Web is our platform where scientists delegate complex research tasks to swarms of AI co-scientists across reading → hypotheses → methods → experimentation → results → drafting, even while they sleep. In parallel, we develop RL environments and process-based training data for LLMs, starting with agentic coding environments for ML research workflows.",https://syntheticsciences.ai/,Winter 2026,B2B,"B2B -> Engineering, Product and Design",Developer Tools; Reinforcement Learning; Workflow Automation,2,Active,Early,14,T2:\bagentic\b; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bworkflow\b; T4:\bautomation\b
Janus,janus,Evaluate AI Agents with Simulation Environments,"Janus automates AI evaluations by using high-fidelity simulation environments, catching failures in reasoning, compliance, tool usage, and performance. 

The resulting datasets benchmark products and feed post-training loops to continuously improve performance over time.",https://www.withjanus.com/,Spring 2025,B2B,B2B -> Infrastructure,AIOps; Developer Tools; Reinforcement Learning; Monitoring; AI,2,Active,Early,14,T2:\bai evaluat; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bcompliance\b; T4:\bmonitor; T4:\bevaluat
Osmosis,osmosis,Reinforcement Learning for AI Agents,Osmosis helps companies use reinforcement learning to fine-tune open source models that outperform foundation models. ,https://osmosis.ai/,Winter 2025,B2B,B2B,,6,Active,Early,14,T1:for ai agents; T2:\bfine-tun
Foundry,foundry,World Model for Browser Agents,"We’re building the an end-to-end web simulator for browser agent training and evals. Our system enables teams to test, benchmark, and optimize browser automation models at scale.

- Deterministic Web Simulation → Stable, reproducible testing with versioned web snapshots.
- Live Web Evaluation → Identify failures caused by UI drift, captchas, and dynamic content.
- Automated Annotation & Labeling → Generate high-quality training data for benchmarking.
- RL-Driven Agent Optimization → Improve models with scalable, feedback-driven learning.

By combining synthetic user simulations, automated evaluations, and large-scale benchmarking, we help teams build more reliable web agents that handle real-world environments with confidence.",https://www.foundryrl.com/,F24,B2B,B2B -> Infrastructure,Deep Learning; Developer Tools; Reinforcement Learning; Data Labeling; AI,2,Active,Early,14,T2:\bbrowser automation\b; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bautomation\b; T4:\bevaluat; T4:\bbrowser\b
Corelayer,corelayer,AI on-call engineer that debugs using data,"We’re building AI agents that do on-call support for data-heavy industries like financial services and fintech, healthcare, and insurance.

On-call engineers in these industries need to inspect data to debug production issues. We monitor both data and infrastructure for issues and use AI agents to debug and suggest fixes in minutes.

Data is especially sensitive in regulated industries, so we offer on-prem deployments and hardware-backed secure environments that let agents safely use production data as context while debugging.

Mitch and Shipra founded Corelayer after building data infrastructure together at Goldman Sachs, where they spent many late nights and weekends debugging systems that processed 100s of billions of rows a day.",https://www.corelayer.com,Winter 2026,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence; Developer Tools; B2B; Enterprise Software; AI,2,Active,Early,13,T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\binsurance\b; T4:\bdeploy; T4:\bmonitor; T4:\bcontext\b
Flott HQ,flott-hq,AI-native operating system for vehicle fleet management,"Flott helps transport and logistics companies run leaner, smarter, and more profitable operations. Flott unifies everything transport and logistics teams need in a single, AI-powered control center—bringing planning, live tracking (gps, fuel, etc), invoicing, and payments into one place and delivering true end-to-end visibility. Flott’s AI agents act as an extension of fleet managers — automating repetitive tasks and optimizing workflows.This lets companies focus on what truly matters: growing the business.",https://www.flotthq.com,Spring 2025,B2B,B2B,Logistics; Transportation; Operations; AI Assistant,2,Active,Early,13,T1:payments.*agent; T4:\bpayment
Okibi,okibi,"Build AI coworkers using natural language, it's Lovable for agents","Okibi is a web app that lets you create AI coworkers using natural language.

It's like Lovable for creating AI agents that talk to your internal software

Corporate users lose 2 hours every day doing tasks that can be automated with agents

But existing agent builders have janky drag and drop UIs that don’t map to what they want exactiy.

Okibi lets everyone use natural language to build the exact agent they want.",https://okibi.ai,Summer 2025,B2B,B2B,AIOps; B2B; Automation; AI; Conversational AI,2,Active,Early,13,T1:for agents; T4:\bautomation\b
A1Base,a1base,Twilio for AI Agents,"Twilio for AI agents. We help AI products talk and work to their users through email, Slack, SMS, WhatsApp and more.",https://www.a1base.com/,W25,B2B,"B2B -> Engineering, Product and Design",Developer Tools,2,Active,Early,13,T1:for ai agents; T4:\bdeveloper tool
Gulp,gulp,Real-Time Self-Improvement for AI Agents,"We're building Osmosis: an API that helps AI agents learn from experience, in real-time. | https://gulp.ai/responsive-software.html",https://gulp.ai/,W25,B2B,B2B,,2,Active,Early,13,T1:for ai agents; T4:\bapi\b
Trava,trava,AI agents for global trade compliance,Trava is building AI agents for global trade compliance. Importers lose billions each year to duty overpayments and filing errors. Trava audits customs entries and automates classification to help importers protect margins and stay compliant at scale.,https://www.usetrava.com/,Winter 2025,B2B,B2B -> Supply Chain and Logistics,Generative AI; B2B; Compliance; Logistics; Supply Chain,1,Active,Early,13,T1:agent.*payment; T4:\bcompliance\b
Luthor,luthor,AI Agents for Marketing Compliance,"Luthor builds AI-powered marketing compliance agents for fintechs, banks, investment advisors, and broker-dealers. Our AI streamlines approvals, helping teams publish content faster—without compliance bottlenecks.",https://luthor.ai,F24,B2B,B2B -> Marketing,B2B; Marketing; AI,4,Active,Early,13,T1:agent.*bank; T4:\bcompliance\b
Lumenary,lumenary,Build production-worthy software quickly with AI.,"Lumenary is a code-generation platform and IDE that makes designing rigorous, data-intensive applications feel like whiteboarding. We provide a canvas-based UI that helps users and LLMs work off the same code and infrastructure context, while programmatically generating full-stack apps from high-level specifications.


Lumenary was founded by four best friends who met at Dartmouth College, with engineering expertise from Jane Street Capital, IMC Trading, and Palantir Technologies. They've published high impact machine learning research in venues like NeurIPS, in addition to deploying secure enterprise software managing billions of dollars and petabytes of data.",https://lumenary.com,S24,B2B,Healthcare,Developer Tools; Automation; AI,4,Active,Early,13,T4:\binfrastructure\b; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bdeploy; T4:\bautomation\b; T4:\bcontext\b
Seals AI,seals-ai,AI Employees for Wholesalers & Distributors,"Seals is a suite of AI Employees for Wholesalers & Distributors. Instead of relying on humans to quote, take orders, collect payments, place purchase orders and enter data into ERPs. We build AI Employees that do these manual repetitive tasks for the 700k wholesalers in the US.

We’re a team of three Computer Science majors, and Fernando launched and grew AT&T in Mexico to $120M ARR. Previously, we all worked together at our last YC-backed startup, building it to over $6M in revenue. It was there that we placed thousands of purchase orders with wholesalers.

We realized that almost every physical product comes from B2B sales in the supply chain. However, it turns out that most of these operations are still done manually through phone and email, involving tasks like quoting, taking orders, collecting payments, entering data into ERPs, and providing support. By automating these tasks with AI agents in a human-like manner, we are creating a massive opportunity to convert $100B of payroll expenses into software spending.
",https://www.hireseals.ai/,S24,B2B,B2B,Artificial Intelligence; SaaS; B2B,4,Active,Early,13,T1:payments.*agent; T4:\bpayment
Arva AI,arva-ai,AI scale AML and KYB operations,"Every time a business onboards onto a bank or fintech a human analyst has to conduct manual document verification. We replace those human KYB (know your business) analysts with AI agents that automate 80% of the manual work for faster and more compliant financial crime reviews.

Currently, 30% of know your business (KYB) cases result in manual review work. With Arva's AI agents the whole end-to-end onboarding experience is automated. Instant onboarding whilst reducing operational costs by 80%.

Our end goal is to have a whole suite of AI workers that can handle manual compliance work for banks and fintechs. A $24B opportunity in the US alone.",https://www.arva.ai,S24,B2B,B2B,Artificial Intelligence; Fintech; B2B; Compliance; Regtech,5,Active,Early,13,T1:bank.*agent; T4:\bcompliance\b
Conduit,conduit-2,Conversational AI agents for the built world,"Conduit is an AI agent platform that drives conversational outcomes.

Customer conversations are the backbone of every business. Conduit turns them into an engine to optimize conversions, revenue, and cost savings.

We're starting with housing and hospitality, where communication is the operation. Leasing, onboarding, scheduling, retention—it all runs on conversations. Conduit handles text and voice conversations with AI agents that perform like your best employee, but faster, more intelligent, and always on, while knowing exactly when to bring in a human.",https://www.conduit.app/,W24,B2B,B2B,Artificial Intelligence,10,Active,Early,13,T1:agent platform; T4:\bplatform\b
Tesseral,tesseral,The open source platform for managing identity in business software,"Tesseral is the open source platform for managing identity and access in business software. It provides enterprise-grade capabilities, including SAML single sign-on, SCIM provisioning, role-based access control, managed API keys, and audit logs, implemented in just a few lines of code. 

Tesseral unifies access management for employees, customers, services, and AI agents, giving organizations the flexibility to adapt to any deployment model and the authority to enforce security policies with precision.

You can learn more by reading our docs at https://tesseral.com/docs or by checking out our GitHub at https://github.com/tesseral-labs/tesseral.",https://tesseral.com,Winter 2024,B2B,B2B,Developer Tools; SaaS; Security; Open Source; API,5,Active,Early,13,T4:\bplatform\b; T4:\bdeveloper tool; T4:\bapi\b; T4:\bidentity\b; T4:\bauth; T4:\bdeploy
Salus,salus,Guardrails to validate your agent's actions before they execute,"Your agent processed a refund without looking up the order ID, costing you thousands. You only found out three hours later from a support ticket. Evals, output scoring, and observability can reduce the likelihood of mistakes like these occurring - but there's no solution that inspects and prevents an action as it’s about to execute. Salus does that.

We’ve built an API that wraps around your agent and checks its actions at run time, blocking incorrect ones and providing immediate feedback to guide retries. Kevin and Vedant were roommates at Stanford, where they both studied computer science. ",https://www.usesalus.ai/,Winter 2026,B2B,B2B -> Infrastructure,Artificial Intelligence; Developer Tools; B2B; API; Infrastructure,2,Active,Early,12,T2:\bguardrail; T4:\binfrastructure\b; T4:\bdeveloper tool; T4:\bapi\b; T4:\bobservab
Alt-X,alt-x,Automation for institutional-grade financial modeling in Excel,"Private-market investing still runs on Excel. Every year, trillions of dollars in venture, real estate, and private-equity capital are underwritten through manual spreadsheet work — copying data from PDFs, CIMs, and data rooms into brittle models that haven’t fundamentally changed in decades.

Alt-X is building the AI infrastructure layer inside Excel for alternative assets. We ingest unstructured deal materials and automatically turn them into clean, auditable Excel models. Analysts can go from raw documents to a working underwriting model in minutes instead of rebuilding spreadsheets cell by cell.

Alt-X extracts and maps key KPIs like ARR, growth, NOI, IRR, leverage, and cap rate directly into Excel, then generates institutional-grade models, sensitivities, and IC-ready outputs that remain fully editable and transparent.

Teams using Alt-X reduce deal evaluation timelines by up to 70%, save 30–50 analyst hours per deal, and screen 4× more opportunities with the same headcount. By automating extraction, modeling, and error detection inside Excel, Alt-X turns underwriting from a manual bottleneck into a scalable workflow.

Our first wedge is real estate and private equity, where Excel underwriting is slowest and most painful. We’re already piloting with family offices and private funds managing over $200M in assets. Alt-X is priced as a SaaS product starting at $30/month, with higher tiers for teams and advanced workflows.

The opportunity is massive: over $1.4T in private-market deals are underwritten globally each year, with $25–30B spent on diligence and analytics — nearly all of it manual and Excel-based. Alt-X’s mission is to become the operating system for private-market investing inside Excel — the Bloomberg Terminal of the AI era.",https://alt-x.co,Fall 2025,Fintech,Fintech,Fintech; AI,2,Active,Early,12,T2:\bai infrastructure\b; T4:\binfrastructure\b; T4:\bworkflow\b; T4:\bautomation\b; T4:\bevaluat
