name,batch,website,one_liner,current_description,classification,layer,notes,relevance_score
Jinba,Winter 2026,https://jinba.io,Automate any enterprise workflow through chat,"Automate any enterprise workflow through chat. Banking, insurance.",AGENT-AS-PRODUCT,enterprise,Enterprise workflow automation agent.,9
MOVEdot,Fall 2025,https://www.movedot.ai/,AI Agents for Hardware Engineering,AI Agents for Hardware Testing. Test data analysis.,AGENT-AS-PRODUCT,hardware engineering,Vertical AI agents for hardware testing.,9
Hypercubic,Fall 2025,https://www.hypercubic.ai/,AI to maintain and modernize COBOL.,Agentic AI Mainframe Modernization. Maintain and modernize COBOL.,AGENT-AS-PRODUCT,legacy code,AI agent for COBOL modernization.,9
MarkIt,Fall 2025,https://markittrade.com,AI Agents for Trade Compliance - Saving Companies from Tariffs,AI Agents for Trade Compliance. Data Layer for Global Trade.,AGENT-AS-PRODUCT,compliance,Trade compliance AI agent product.,9
Fluidize,Summer 2025,https://fluidize.ai,Helping scientists and engineers run experiments with AI. ,AI Platform for Scientific Computing. Help scientists run experiments.,AGENT-AS-PRODUCT,science,AI platform for science.,9
Locata,Summer 2025,https://www.locatahealth.com/,AI Referral Automation for Primary Care Clinics,AI Referral Automation for Primary Care. Agentic automation.,AGENT-AS-PRODUCT,healthcare,Healthcare referral automation agent.,9
Perspectives Health,Summer 2025,https://perspectiveshealth.ai/,Automating away admin for behavioral health clinics,Automating admin for behavioral health clinics.,AGENT-AS-PRODUCT,healthcare,Healthcare admin AI agent.,9
Promptless,W25,https://gopromptless.ai/,An AI teammate that automatically updates your customer-facing docs,Automatically update customer-facing docs.,AGENT-AS-PRODUCT,documentation,AI agent for documentation updates.,9
Tire Swing,W25,https://gettireswing.com,AI for Healthcare Compliance,AI for Healthcare Compliance. (Empty),AGENT-AS-PRODUCT,healthcare,Healthcare compliance AI.,9
Handled,Summer 2024,https://www.itshandled.ai,Automating post-order operations for e-commerce brands and 3PLs,Automating post-order operations for e-commerce.,AGENT-AS-PRODUCT,ecommerce,E-commerce operations agent.,9
OneGrep,W24,https://www.onegrep.dev,AI Agent for DevOps Workflow Automation,AI Agent for DevOps Workflow Automation. (Empty),AGENT-AS-PRODUCT,devops,DevOps AI agent product.,9
CommodityAI,W24,https://commodityai.io/,AI that automates commodity operations,AI that automates commodity operations.,AGENT-AS-PRODUCT,commodities,Vertical AI for commodities.,9
Tower,W24,https://withtower.com,Legal due diligence platform powered by AI,AI-Powered Due Diligence Software for M&A and Legal.,AGENT-AS-PRODUCT,legal,Legal AI agent product.,9
Cardboard,Winter 2026,https://usecardboard.com,Agentic video editor,Agentic Video Editor. Raw footage to clean edit in minutes.,AGENT-AS-PRODUCT,media,AI agent video editing product.,8
Scott AI,Fall 2025,https://tryscott.ai,Agentic Workspace for Engineering Team Alignment,Agentic Workspace for Engineering Team Alignment.,AGENT-AS-PRODUCT,engineering,AI workspace product.,8
Clicks,Fall 2025,https://goclicks.ai/,Computer use agents to automate all back-office work,Computer use agents to automate back-office work.,AGENT-AS-PRODUCT,back-office,Back-office automation agent product.,8
StarSling,Spring 2025,https://www.starsling.dev/,Cursor for DevOps,AI Agents for DevOps. Cursor for DevOps.,AGENT-AS-PRODUCT,devops,Vertical AI agent for DevOps.,8
datafruit,Summer 2025,https://datafruit.dev/,AI DevOps Engineer,AI Agents for System Integrators.,AGENT-AS-PRODUCT,devops,DevOps/integration AI agent product.,8
Orange Slice,Summer 2025,https://orangeslice.ai,Agentic sales enrichment spreadsheet,Custom Sales Workflow Automation. Agentic sales enrichment.,AGENT-AS-PRODUCT,sales,Sales automation agent product.,8
Risely AI,Summer 2025,https://www.risely.ai/,AI agents that automate administrative work across college campuses. ,AI Agents that automate admin across college campuses.,AGENT-AS-PRODUCT,education,Higher education AI agent product.,8
Zavo,Fall 2025,https://zavopay.com,AI Point of Sale for Restaurants ,Operating system for modern hospitality. AI Point of Sale for restaurants.,NOT-RELEVANT,,Vertical restaurant software. Not agent infrastructure.,27
Absurd,Fall 2025,https://absurd.com/,AI Brand and Performance Ads at Scale,AI Brand and Performance Ads at Scale.,NOT-RELEVANT,,Marketing/ads. Not agent infrastructure.,21
Mbodi AI,Spring 2025,https://www.mbodi.ai/,Make Industrial Robots Learn Like Humans,Embodied AI Platform for Robotics. Teach robots through conversation.,NOT-RELEVANT,,Robotics. Not software agent infrastructure.,19
Shor,Summer 2025,https://www.tryshor.com,"The fastest, most affordable payroll for global teams","Fastest, most affordable payroll for global teams. $99.",NOT-RELEVANT,,Payroll company. Not AI agent related.,19
Zoa Research,Summer 2024,https://zoaresearch.com,Powerful quantitative forecasting models,Powerful quantitative forecasting models. First profitable AI lab.,NOT-RELEVANT,,Quant finance. Not agent infrastructure.,16
Flott HQ,Spring 2025,https://www.flotthq.com,AI-native operating system for vehicle fleet management,AI-native OS for vehicle fleet management.,NOT-RELEVANT,,Fleet management software.,13
Alt-X,Fall 2025,https://alt-x.co,Automation for institutional-grade financial modeling in Excel,Automation for institutional financial modeling in Excel.,NOT-RELEVANT,,Excel automation. Not agent infrastructure.,12
Floot,Summer 2025,https://floot.com,The easiest way for non-coders to build apps with AI.,Easiest way to build apps with AI. No-code.,NOT-RELEVANT,,No-code app builder.,11
Cosmic,Fall 2024,https://www.cosmic.new/,"Build, monetize, and deploy full-stack websites in minutes",Build and deploy full-stack websites in minutes.,NOT-RELEVANT,,Website builder.,11
Storia AI,S24,https://storia.ai,Open source AI copilot that knows your company's code and its context,Founder personal site. Appears pivoted or inactive.,NOT-RELEVANT,,No active product visible.,11
Shofo,Winter 2026,https://shofo.ai/,Common Crawl for Videos,Largest High-Quality Video Index. Common Crawl for Videos.,NOT-RELEVANT,,Video data. Not agent infrastructure.,10
Outerport,S24,https://outerport.com,Compare documents and clarify business processes with AI,Make documents queryable. Extract structured data.,NOT-RELEVANT,,"Document processing, not agent infra.",10
OctaPulse,Winter 2026,https://www.tryoctapulse.com/,Robotics and computer vision to automate fish farming from hatchery…,Robotics and computer vision for fish farming.,NOT-RELEVANT,,Aquaculture robotics.,9
Wavedash,X25,https://wavedash.gg,Helping game devs distribute builds to playtesters for rapid feedback,Game build distribution for playtesters.,NOT-RELEVANT,,Gaming. Not agent infrastructure.,9
RowFlow,Summer 2025,https://rowflow.ai,Replacing forms with AI conversations,Replacing forms with AI conversations. AI-native form.,NOT-RELEVANT,,Form replacement. Not agent infrastructure.,9
Pig,W25,https://pig.dev,An API for automating Windows apps with AI,Team has moved on. Now building Butter. Previously API for Windows automation.,NOT-RELEVANT,,Shut down. Team is now Butter.,9
Revyl,F24,https://www.revyl.ai,Proactive observability,Mobile and web testing. Not agent-specific.,NOT-RELEVANT,,"General app testing, not agent infrastructure.",9
ReactWise,S24,https://www.reactwise.com/,AI Co-Pilot for Chemical Process Optimization,AI Co-Pilot for Chemical Process Optimization.,NOT-RELEVANT,,Chemical engineering. Not agent infrastructure.,9
Quary,W24,https://www.quary.dev,The first in-browser analytics engineering platform,In-browser analytics engineering platform. (Empty),NOT-RELEVANT,,Analytics tool.,9
Engines,W24,https://engines.dev,"Tools, context and sandboxes for AI SWEs",Shut down. Previously tools and sandboxes for AI SWEs.,NOT-RELEVANT,,Shut down.,9
SigmanticAI,Summer 2025,https://www.sigmanticai.com,The Cursor for Chip Design - Delivering Silicon-Ready Chip Designs…,Hardware Verification Automation for chip design.,NOT-RELEVANT,,Chip design. Not agent infrastructure.,8
Aether Energy,W24,https://www.aethernrg.com/,Solar and roofing workflow software for solar installers worldwide,Solar and roofing workflow software.,NOT-RELEVANT,,Solar energy. Not agent infrastructure.,8
